subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010017,ep00,8,2,1192
sub-010017,ep00,10,2,1183
sub-010017,ep00,20,2,1261
sub-010017,ep00,30,0,1395
sub-010017,ep00,50,0,1395
sub-010017,ep00,100,0,1395
sub-010017,ep00,150,0,1395
sub-010017,ep00,200,0,1395
sub-010017,ep01,3,2,24
sub-010017,ep01,5,5,1199
sub-010017,ep01,7,5,1257
sub-010017,ep01,8,2,1255
sub-010017,ep01,10,2,1291
sub-010017,ep01,20,0,1409
sub-010017,ep01,30,0,1409
sub-010017,ep01,50,0,1409
sub-010017,ep01,100,0,1409
sub-010017,ep01,150,0,1409
sub-010017,ep01,200,0,1409
sub-010017,ep02,3,4,282
sub-010017,ep02,5,2,1039
sub-010017,ep02,7,3,1319
sub-010017,ep02,8,3,1329
sub-010017,ep02,10,2,1311
sub-010017,ep02,20,2,1334
sub-010017,ep02,30,0,1424
sub-010017,ep02,50,0,1424
sub-010017,ep02,100,0,1424
sub-010017,ep02,150,0,1424
sub-010017,ep02,200,0,1424
sub-010017,ep03,3,9,556
sub-010017,ep03,5,2,1120
sub-010017,ep03,7,2,1396
sub-010017,ep03,8,0,1433
sub-010017,ep03,10,2,1389
sub-010017,ep03,20,0,1433
sub-010017,ep03,30,0,1433
sub-010017,ep03,50,0,1433
sub-010017,ep03,100,0,1433
sub-010017,ep03,150,0,1433
sub-010017,ep03,200,0,1433
sub-010017,ep04,3,2,32
sub-010017,ep04,5,4,1239
sub-010017,ep04,7,2,1236
sub-010017,ep04,8,2,1424
sub-010017,ep04,10,2,1395
sub-010017,ep04,20,2,1508
sub-010017,ep04,30,0,1566
sub-010017,ep04,50,0,1566
sub-010017,ep04,100,0,1566
sub-010017,ep04,150,0,1566
sub-010017,ep04,200,0,1566
sub-010017,ep05,3,5,438
sub-010017,ep05,5,2,914
sub-010017,ep05,7,2,1193
sub-010017,ep05,8,2,1219
sub-010017,ep05,10,2,1283
sub-010017,ep05,20,2,1320
sub-010017,ep05,30,2,1345
sub-010017,ep05,50,0,1408
sub-010017,ep05,100,0,1408
sub-010017,ep05,150,0,1408
sub-010017,ep05,200,0,1408
sub-010017,ep06,3,2,267
sub-010017,ep06,5,5,1165
sub-010017,ep06,7,2,1209
sub-010017,ep06,8,2,1224
sub-010017,ep06,10,2,1240
sub-010017,ep06,20,0,1316
sub-010017,ep06,30,0,1316
sub-010017,ep06,50,0,1316
sub-010017,ep06,100,0,1316
sub-010017,ep06,150,0,1316
sub-010017,ep06,200,0,1316
sub-010019,ep00,3,3,330
sub-010019,ep00,5,2,792
